text,main_category,rating,verified_purchase,helpful_vote,category,ai_score
"Prints were of interest to my SO as he plays percussion. I also bought 6 frames which he was excited about also. Said he would think of me every time he looked at them!  Not expensive, but he will enjoy them!  A great gift!",Handmade,5.0,True,0,Handmade Products,9.038231589819645e-05
"I ordered 2 of these for two different people; one female and male. The unisex fit was not as good as I had hoped. The letters for the female had the letters farther down than the other. Also the gray was not identical coloring. Overall, it was good.",Handmade,4.0,True,0,Handmade Products,0.0001408286013804272
"I have now ordered 3 times! I love the font choices, the color choices, and how durable the wording is!<br />I have been personalizing everything! You guys are permanently saved on my wish list so I can order more!",Handmade,5.0,True,0,Handmade Products,0.0044949352741241455
"Nice looking bag! My boyfriend gets lots of compliments on it. New out of packaging it smelled horrible, like old vegetable oil. Over time the smell goes away, but initially it is very strong. Bag is well made and nicely stitched. Buckles work well and seem sturdy. I am concerned about the strap; it may not hold up to all the weight in the bag but so far, so good.",Handmade,4.0,True,0,Handmade Products,7.853788488443314e-05
Seems a little rush from a production stand point as the top of the case is too large for the AirPods and the connectors that attach the top case portion to the bottom are a little longer than preferred.,Handmade,4.0,True,0,Handmade Products,0.00010172526041518637
These earrings are the perfect color I've been searching for.  They arrived in a beautiful jewelry box with an appreciative note from the seller.  They truly are non irritating to my extremely sensitive ears.  I'm making a list of the other colors that I need to add to my collection.,Handmade,5.0,True,0,Handmade Products,0.00267710004534516
"These are nice earrings -- they are lightweight and comfortable and I like the way they look. Nonetheless, for the price, I expected a little more. I thought from the pictures in the item description that these were larger and shinier than they actually are.",Handmade,4.0,False,0,Handmade Products,9.514667369536767e-05
This was a very nice tag but a little to heavy for a cat.  I put it on her and it hit her water bowl and just kept bothering her as it seem to weigh down.  She is a smaller cat not a kitten .  Would recommend for a dog,Handmade,3.0,True,0,Handmade Products,8.093683343535218e-05
"This hand made Persian weave wallet chain is heavy duty, excellent quality at a very competitive price. It's more than worth the money. I lost my first one in a motorcycle crash & it was the very first thing I replaced. You will not be disappointed.",Handmade,5.0,True,0,Handmade Products,8.344650268554688e-05
"I wanted something to carry my phone around when I’m not able to carry in my pocket (eg - the beach). Fits well and convenient to carry around. Beautiful, distressed leather. Very happy with this case",Handmade,5.0,False,0,Handmade Products,0.00014863115676000405
I wasn’t expecting much for the low price and was pleasantly surprised. Leather is thick. A bit stiff but will age nicely over time. I’ve never seen any similar collar in the store and would highly recommend it to anyone.,Handmade,5.0,True,0,Handmade Products,0.0014646695210340788
