text,main_category,rating,verified_purchase,helpful_vote,category
"I've been playing for a few months and love this game. Fun graphics,  lots of activities, and best of all chat. It does not cost a lot of money to play, unlike some of the other games. Take a chance and download, you won't be sorry.",Appstore for Android,5.0,True,120,Software
"I didn't see any old John Wayne movies, but the ones that I did watch I enjoyed.  The selection of movies are fairly limited.  But if you are a fan of western movies I think you will find something that you will like.  I did.",Appstore for Android,5.0,True,0,Software
"I downloaded this for my 2 year old great grandson. He loved it. When I got home, my 22 year old grandaughter started playing with it and she loved it as well.  She just loved all of the colors.  She is an artist and just had a great time playing with the colors.",Appstore for Android,5.0,True,0,Software
"Did you ever play Farmville?  If so this is similar...kinda....sorta.  I am playing it regular so it's got me hooked for now. My only issue is it takes like 3-5 min. To do everything in the game. Then you are just sitting, moving around the screen waiting for a customer. It would be great with some more in game-games. Or other stuff to do while waiting. But overall I'm enjoying it. And if you decide to play, my family name is &quot; Ancient WoOd's cannabis needs&quot; if you see me selling my merchandise. 😁🌿🌿🌿",Appstore for Android,4.0,True,14,Software
Newsmax doesn’t go with the pressure of the mainstream agenda. They stay true to facts and conservative values that can’t be found in the mainstream news (including Fox News). Refreshing to hear a good news source.,Appstore for Android,5.0,False,0,Software
"Constant buffering - will play only about 10 seconds of video before pausing.  This on a 10Mb connection, which plays video on all other FireTV apps without issue. Would give zero stars if possible.  Note: ads play perfectly with no pausing/buffering.",Appstore for Android,1.0,True,0,Software
This game is sooooooo cool especially the weapons. So that's a reason why you should have this game. Get enough money for the aug gun and you can customize it. Most of the weapons you can color or customize.<br />Now buy this game and fast for revenge on your boss.,Appstore for Android,5.0,True,10,Software
"Three tech support calls all had me do the same set up steps done before calling for support.  After going through the set up repeatedly for many hours during three phone calls over three different days.  The product still does not work.  They offered to replace the four that I purchased.  That has not happened.  If they do replace them, I hope the replacements actually work.  Considering how bad this experience has been, the expectations are very low.",Appstore for Android,1.0,True,1,Software
"So many good shows on this channel. My sister just introduced me to ""Better Together."" I listen to Mike Rowe's podcast ""The Way I Heard It"" so was very excited and pleased to find ""The Story Behind the Story.""  Lots to watch but so little time!!",Appstore for Android,5.0,True,3,Software
"Love these puzzles.  Only wish we could more in the landscape screen.  Bought all I could find which is only about five.  Beautiful Worlds is my favorite of the five.  Relaxing if one keeps in medium difficulty.  Just wish I could get more in the horizontal mode.  My heavier tablet gets top heavy in vertical position,.",Appstore for Android,5.0,False,0,Software
